42:1.5, D-5, D5, NaN, NaN
42:1.75, C5, NaN, NaN, NaN
42:2.0, B-4, D5, E-4, NaN
42:2.5, C5, E-5, NaN, NaN
43:0.0, E-5, D5, D4, B-2
43:0.25, NaN, G3, NaN, NaN
43:0.5, NaN, A3, NaN, NaN
43:0.75, NaN, B3, NaN, NaN
43:1.0, NaN, C4, Rest, NaN
43:1.25, NaN, D4, NaN, NaN
43:1.5, D-5, E4, B3, NaN
43:1.75, NaN, F#4, NaN, NaN
43:2.0, B-4, G4, B3, NaN
43:2.25, NaN, F#4, NaN, NaN
43:2.5, A-4, G4, C4, NaN
43:2.75, NaN, F#4, NaN, NaN
44:0.0, G4, G4, B-3, NaN
44:1.0, Rest, Rest, Rest, NaN
44:1.5, E-5, NaN, G4, NaN
44:1.75, D-5, NaN, NaN, NaN
44:2.0, C5, Rest, G4, NaN
44:2.5, D-5, NaN, G4, NaN
45:0.0, F5, Rest, G4, C3
45:1.0, NaN, NaN, Rest, NaN
45:1.5, E-5, NaN, B3, NaN
45:2.0, C5, NaN, B3, NaN
45:2.5, B-4, NaN, C4, NaN
46:0.0, A4, Rest, B3, NaN
46:1.0, Rest, NaN, Rest, C3
46:1.5, F5, NaN, G4, NaN
46:1.75, E-5, NaN, NaN, NaN
46:2.0, D5, NaN, G4, C3
46:2.5, E-5, NaN, G4, NaN
47:0.0, F5, Rest, G4, D3
47:1.0, NaN, Rest, Rest, NaN
47:1.5, NaN, NaN, B3, NaN
47:2.0, NaN, G4, B3, NaN
47:2.5, NaN, G4, C4, NaN
48:0.0, E-5, NaN, B3, E-3
48:0.25, NaN, NaN, G3, NaN
48:0.5, NaN, G4, A3, NaN
48:0.75, NaN, NaN, B3, NaN
48:1.0, D5, B4, C4, F3
48:1.25, NaN, NaN, D4, NaN
48:1.5, NaN, B4, E4, NaN
48:1.75, NaN, NaN, F#4, NaN
48:2.0, C5, C5, G4, F#3
48:2.25, NaN, NaN, F#4, NaN
48:2.5, NaN, C5, G4, NaN
48:2.75, NaN, NaN, F#4, NaN
49:0.0, B4, E5, G4, G3
49:0.25, G4, NaN, NaN, NaN
49:0.5, A4, NaN, NaN, NaN
49:0.75, B4, NaN, NaN, NaN
49:1.0, C5, D5, Rest, Rest
49:1.25, D5, NaN, NaN, NaN
49:1.5, E5, NaN, NaN, NaN
49:1.75, F#5, NaN, NaN, NaN
49:2.0, G5, Rest, Rest, Rest
49:2.25, F#5, NaN, NaN, NaN
49:2.5, G5, NaN, NaN, NaN
49:2.75, F#5, NaN, NaN, NaN
50:0.0, G5, Rest, Rest, G3
50:0.25, NaN, NaN, NaN, G2
50:0.5, NaN, NaN, NaN, A2
50:0.75, NaN, NaN, NaN, B-2
50:1.0, Rest, NaN, NaN, C3
50:1.25, NaN, NaN, NaN, D3
50:1.5, B5, NaN, NaN, E3
50:1.75, NaN, NaN, NaN, F#3
50:2.0, B5, NaN, NaN, G3
50:2.25, NaN, NaN, NaN, F#3
50:2.5, C6, NaN, NaN, G3
50:2.75, NaN, NaN, NaN, F#3
51:0.0, B5, Rest, Rest, G3
51:0.25, G4, NaN, NaN, NaN
51:0.5, A4, NaN, NaN, NaN
51:0.75, B4, NaN, NaN, NaN
51:1.0, C5, Rest, NaN, Rest
51:1.25, D5, NaN, NaN, NaN
51:1.5, E5, NaN, NaN, NaN
51:1.75, F#5, NaN, NaN, NaN
51:2.0, G5, B4, NaN, Rest
51:2.25, F#5, NaN, NaN, NaN
51:2.5, G5, NaN, NaN, NaN
51:2.75, F#5, NaN, NaN, NaN
52:0.0, G5, E5, Rest, G3
52:0.25, NaN, NaN, NaN, G2
52:0.5, NaN, NaN, NaN, A2
52:0.75, NaN, NaN, NaN, B2
52:1.0, Rest, E4, Rest, C3
52:1.25, NaN, NaN, NaN, D3
52:1.5, B5, NaN, NaN, E3
52:1.75, NaN, NaN, NaN, F#3
52:2.0, B5, C5, F4, G3
52:2.25, NaN, NaN, NaN, F#3
52:2.5, C6, NaN, F4, G3
52:2.75, NaN, NaN, NaN, F#3
53:0.0, B5, NaN, E4, G3
53:0.5, G3, NaN, E4, NaN
53:0.75, A3, NaN, NaN, NaN
53:1.0, B3, B-4, D4, Rest
53:1.25, C4, NaN, NaN, NaN
53:1.5, D4, Rest, D4, G3
53:1.75, E4, NaN, NaN, NaN
53:2.0, F#4, Rest, C4, G3
53:2.25, G4, NaN, NaN, NaN
53:2.5, F#4, NaN, C4, C3
53:2.75, G4, NaN, NaN, NaN
54:0.0, G4, Rest, B3, G3
54:0.25, G4, NaN, NaN, G2
54:0.5, A4, NaN, NaN, A2
54:0.75, B4, NaN, NaN, B2
54:1.0, C5, NaN, NaN, C3
54:1.25, D5, NaN, NaN, D3
54:1.5, E5, NaN, NaN, E3
54:1.75, F#5, NaN, NaN, F#3
54:2.0, G5, NaN, E4, G3
54:2.25, F#5, NaN, NaN, F#3
54:2.5, G5, NaN, E4, G3
54:2.75, F#5, NaN, NaN, F#3
55:0.0, G5, Rest, F4, G3
55:0.5, G5, NaN, F4, NaN
55:1.0, NaN, Rest, D4, Rest
55:1.5, G5, NaN, D4, NaN
55:2.0, NaN, D4, B3, Rest
55:2.5, G5, D4, B3, NaN
56:0.0, NaN, E4, G#3, Rest
56:0.5, G#5, C5, G#3, NaN
56:1.0, NaN, B-4, E4, NaN
56:1.5, G#5, B-4, E4, NaN
56:2.0, NaN, G4, D4, NaN
56:2.5, G#5, G4, D4, NaN
57:0.0, A5, A-4, C4, Rest
57:0.5, A5, NaN, C4, NaN
57:1.0, F5, NaN, A3, NaN
57:1.5, F5, Rest, A3, NaN
57:2.0, D5, G4, D4, NaN
57:2.5, D5, G4, D4, NaN
58:0.0, B4, A-4, G3, Rest
