59:1.0, D5, B4, D4, NaN
59:1.5, D5, B4, D4, NaN
59:2.0, E5, C5, C4, NaN
59:2.5, E5, C5, C4, NaN
60:0.0, G5, E5, B3, Rest
60:1.0, F5, D5, NaN, NaN
60:2.0, Rest, Rest, E4, NaN
60:2.5, NaN, NaN, E4, NaN
61:0.0, Rest, Rest, F4, Rest
61:0.5, NaN, NaN, F4, NaN
61:1.0, NaN, NaN, D4, NaN
61:1.5, NaN, NaN, D4, NaN
61:2.0, NaN, NaN, B3, NaN
61:2.5, NaN, NaN, B3, NaN
62:0.0, Rest, Rest, G#3, Rest
62:0.5, NaN, NaN, G#3, NaN
62:1.0, Rest, Rest, E4, NaN
62:1.5, NaN, NaN, E4, NaN
62:2.0, G#5, B4, D4, NaN
62:2.5, NaN, NaN, D4, NaN
63:0.0, A5, E5, C4, Rest
63:0.5, NaN, NaN, C4, NaN
63:1.0, C6, E4, A3, NaN
63:1.5, NaN, NaN, A3, NaN
63:2.0, F#5, C5, D4, NaN
63:2.5, NaN, NaN, D4, NaN
64:0.0, A5, NaN, G3, Rest
64:0.5, NaN, NaN, G3, NaN
64:1.0, G5, B4, G4, Rest
64:1.5, Rest, Rest, Rest, F#3
64:2.0, Rest, Rest, Rest, G3
64:2.5, NaN, NaN, NaN, G#3
65:0.0, Rest, Rest, Rest, A3
65:0.5, NaN, NaN, NaN, A3
65:1.0, NaN, NaN, NaN, F3
65:1.5, NaN, NaN, NaN, F3
65:2.0, NaN, NaN, NaN, D3
65:2.5, NaN, NaN, NaN, D3
66:0.0, Rest, Rest, Rest, B2
66:0.5, NaN, NaN, NaN, B2
66:1.0, Rest, Rest, Rest, G2
66:1.5, NaN, NaN, NaN, G2
66:2.0, F5, D4, G3, B2
66:2.5, F5, D4, G3, B2
67:0.0, E5, E4, G3, C3
67:0.5, E5, C5, G4, C3
67:1.0, D5, B4, F4, D3
67:1.5, D5, B4, F4, D3
67:2.0, C5, G4, E4, E3
67:2.5, C5, G4, E4, E3
68:0.0, C5, A-4, D4, F3
68:1.0, B4, NaN, NaN, NaN
68:1.5, Rest, Rest, Rest, Rest
68:2.0, Rest, G4, Rest, Rest
68:2.5, NaN, G4, NaN, NaN
